Time,signal
-330.14811557,0.01947261
-330.11478073,0.01849906
-330.08144589,0.01721930
-330.04811105,0.01604564
-330.01477621,0.01484313
-329.98144137,0.01359666
-329.94810653,0.01229362
-329.91477169,0.01105746
-329.88143685,0.00975297
-329.84810200,0.00841697
-329.81476716,0.00721610
-329.78143232,0.00577144
-329.74809748,0.00446787
-329.71476264,0.00300544
-329.68142780,0.00141647
-329.64809296,-0.00014646
-329.61475812,-0.00163479
-329.58142328,-0.00337208
-329.54808844,-0.00493625
-329.51475360,-0.00655823
-329.48141876,-0.00834098
-329.44808392,-0.01022988
-329.41474908,-0.01203786
-329.38141423,-0.01395357
-329.34807939,-0.01584557
-329.31474455,-0.01813548
-329.28140971,-0.02028468
-329.24807487,-0.02255958
-329.21474003,-0.02503933
-329.18140519,-0.02753582
-329.14807035,-0.03028968
-329.11473551,-0.03326534
-329.08140067,-0.03650676
-329.04806583,-0.03995450
-329.01473099,-0.04383611
-328.98139615,-0.04766853
-328.94806131,-0.05180911
-328.91472647,-0.05656272
-328.88139162,-0.06135947
-328.84805678,-0.06649712
-328.81472194,-0.07203872
-328.78138710,-0.07767251
-328.74805226,-0.08354111
-328.71471742,-0.08979003
-328.68138258,-0.09616076
-328.64804774,-0.10291592
-328.61471290,-0.10980303
-328.58137806,-0.11692513
-328.54804322,-0.12430995
-328.51470838,-0.13178454
-328.48137354,-0.13946112
-328.44803870,-0.14747638
-328.41470385,-0.15539223
-328.38136901,-0.16359042
-328.34803417,-0.17171094
-328.31469933,-0.17985370
-328.28136449,-0.18787266
-328.24802965,-0.19540295
-328.21469481,-0.20233834
-328.18135997,-0.20846764
-328.14802513,-0.21312202
-328.11469029,-0.21624361
-328.08135545,-0.21721922
-328.04802061,-0.21551934
-328.01468577,-0.21064746
-327.98135093,-0.20193998
-327.94801609,-0.18876674
-327.91468124,-0.17052163
-327.88134640,-0.14672027
-327.84801156,-0.11652503
-327.81467672,-0.07970471
-327.78134188,-0.03574509
-327.74800704,0.01588421
-327.71467220,0.07550592
-327.68133736,0.14276832
-327.64800252,0.21871779
-327.61466768,0.30369539
-327.58133284,0.39822996
-327.54799800,0.50177166
-327.51466316,0.61504328
-327.48132832,0.73890375
-327.44799347,0.87336892
-327.41465863,1.01742232
-327.38132379,1.17247411
-327.34798895,1.33788173
-327.31465411,1.51209569
-327.28131927,1.69124725
-327.24798443,1.87139722
-327.21464959,2.04796059
-327.18131475,2.21209815
-327.14797991,2.35357031
-327.11464507,2.46300123
-327.08131023,2.52817218
-327.04797539,2.53673250
-327.01464055,2.47857858
-326.98130571,2.34669553
-326.94797086,2.13730150
-326.91463602,1.85318749
-326.88130118,1.50453854
-326.84796634,1.10060376
-326.81463150,0.65548694
-326.78129666,0.18747878
-326.74796182,-0.28160911
-326.71462698,-0.73542190
-326.68129214,-1.15915278
-326.64795730,-1.53597282
-326.61462246,-1.85239267
-326.58128762,-2.10342768
-326.54795278,-2.28531814
-326.51461794,-2.39708854
-326.48128309,-2.44255455
-326.44794825,-2.42931930
-326.41461341,-2.36599527
-326.38127857,-2.26203666
-326.34794373,-2.12805469
-326.31460889,-1.97137697
-326.28127405,-1.79932938
-326.24793921,-1.61863287
-326.21460437,-1.43709323
-326.18126953,-1.25887065
-326.14793469,-1.08855873
-326.11459985,-0.92991564
-326.08126501,-0.78705269
-326.04793017,-0.65961876
-326.01459533,-0.54752263
-325.98126048,-0.45011416
-325.94792564,-0.36595876
-325.91459080,-0.29176473
-325.88125596,-0.22556059
-325.84792112,-0.16471535
-325.81458628,-0.10831252
-325.78125144,-0.05446648
-325.74791660,-0.00327343
-325.71458176,0.04464125
-325.68124692,0.08749541
-325.64791208,0.12332971
-325.61457724,0.15030406
-325.58124240,0.16525982
-325.54790756,0.16642265
-325.51457271,0.15248295
-325.48123787,0.12292872
-325.44790303,0.07904370
-325.41456819,0.02385149
-325.38123335,-0.03875186
-325.34789851,-0.10334707
-325.31456367,-0.16416288
-325.28122883,-0.21493398
-325.24789399,-0.25100869
-325.21455915,-0.26824632
-325.18122431,-0.26404261
-325.14788947,-0.23773175
-325.11455463,-0.19081618
-325.08121979,-0.12636315
-325.04788495,-0.04921361
-325.01455010,0.03374215
-324.98121526,0.11635532
-324.94788042,0.19150626
-324.91454558,0.25293712
-324.88121074,0.29591429
-324.84787590,0.31806027
-324.81454106,0.31972412
-324.78120622,0.30280619
-324.74787138,0.27108258
-324.71453654,0.22931809
-324.68120170,0.18212834
-324.64786686,0.13401176
-324.61453202,0.08911150
-324.58119718,0.05040094
-324.54786233,0.01915614
-324.51452749,-0.00362902
-324.48119265,-0.01778290
-324.44785781,-0.02371164
-324.41452297,-0.02240939
-324.38118813,-0.01483027
-324.34785329,-0.00233531
-324.31451845,0.01417523
-324.28118361,0.03353415
-324.24784877,0.05520344
-324.21451393,0.07793050
-324.18117909,0.10153182
-324.14784425,0.12518131
-324.11450941,0.14760489
-324.08117457,0.16805972
-324.04783972,0.18571135
-324.01450488,0.20014434
-323.98117004,0.21151761
-323.94783520,0.21982247
-323.91450036,0.22501450
-323.88116552,0.22707287
-323.84783068,0.22528860
-323.81449584,0.21905289
-323.78116100,0.20718469
-323.74782616,0.18891321
-323.71449132,0.16416152
-323.68115648,0.13353365
-323.64782164,0.09755072
-323.61448680,0.05797384
-323.58115195,0.01713293
-323.54781711,-0.02267479
-323.51448227,-0.05837463
-323.48114743,-0.08791589
-323.44781259,-0.10856090
-323.41447775,-0.11835663
-323.38114291,-0.11585391
-323.34780807,-0.10018772
-323.31447323,-0.07128848
-323.28113839,-0.03075062
-323.24780355,0.01928450
-323.21446871,0.07520147
-323.18113387,0.13266913
-323.14779903,0.18679595
-323.11446419,0.23344218
-323.08112934,0.26905152
-323.04779450,0.29074130
-323.01445966,0.29722501
-322.98112482,0.28894079
-322.94778998,0.26704801
-322.91445514,0.23496446
-322.88112030,0.19664610
-322.84778546,0.15669423
-322.81445062,0.11992354
-322.78111578,0.09065147
-322.74778094,0.07163311
-322.71444610,0.06470890
-322.68111126,0.06954517
-322.64777642,0.08436715
-322.61444157,0.10641333
-322.58110673,0.13260587
-322.54777189,0.15968622
-322.51443705,0.18456083
-322.48110221,0.20431797
-322.44776737,0.21748666
-322.41443253,0.22290128
-322.38109769,0.22025346
-322.34776285,0.20991991
-322.31442801,0.19257897
-322.28109317,0.16939321
-322.24775833,0.14106802
-322.21442349,0.10926684
-322.18108865,0.07463050
-322.14775381,0.03888333
-322.11441896,0.00310930
-322.08108412,-0.03093403
-322.04774928,-0.06170730
-322.01441444,-0.08773003
-321.98107960,-0.10781484
-321.94774476,-0.12123382
-321.91440992,-0.12778274
-321.88107508,-0.12786696
-321.84774024,-0.12290287
-321.81440540,-0.11492734
-321.78107056,-0.10592831
-321.74773572,-0.09777659
-321.71440088,-0.09086927
-321.68106604,-0.08536230
-321.64773119,-0.08013866
-321.61439635,-0.07398889
-321.58106151,-0.06582090
-321.54772667,-0.05480808
-321.51439183,-0.04083034
-321.48105699,-0.02450591
-321.44772215,-0.00664332
-321.41438731,0.01188819
-321.38105247,0.03045447
-321.34771763,0.04806472
-321.31438279,0.06449539
-321.28104795,0.07938010
-321.24771311,0.09289201
-321.21437827,0.10536641
-321.18104343,0.11724035
-321.14770858,0.12866121
-321.11437374,0.13933879
-321.08103890,0.14862502
-321.04770406,0.15540538
-321.01436922,0.15845452
-320.98103438,0.15667850
-320.94769954,0.14980517
-320.91436470,0.13775771
-320.88102986,0.12092241
-320.84769502,0.10005163
-320.81436018,0.07635574
-320.78102534,0.05088452
-320.74769050,0.02553246
-320.71435566,0.00106850
-320.68102081,-0.02076368
-320.64768597,-0.03862940
-320.61435113,-0.05223830
-320.58101629,-0.06074794
-320.54768145,-0.06425331
-320.51434661,-0.06272614
-320.48101177,-0.05681195
-320.44767693,-0.04674204
-320.41434209,-0.03402420
-320.38100725,-0.01978468
-320.34767241,-0.00591769
-320.31433757,0.00616750
-320.28100273,0.01448504
-320.24766789,0.01834604
-320.21433305,0.01717936
-320.18099820,0.01146235
-320.14766336,0.00268294
-320.11432852,-0.00757460
-320.08099368,-0.01772788
-320.04765884,-0.02307978
